timestamp,check_type,avg_latency_ms,jitter,packet_loss_pct,download_mbps,upload_mbps,alert_triggered,alert_reason
2026-04-06 07:55:04,ping,25,10,0,,,False,
2026-04-06 08:00:14,ping,27,13,0,,,False,
2026-04-06 08:05:23,ping,37,66,0,,,False,
2026-04-06 08:10:25,speed,,,,94.03,9.36,False,
2026-04-06 08:10:45,ping,30,32,0,,,False,
2026-04-06 08:15:54,ping,24,13,0,,,False,
2026-04-06 08:21:03,ping,29,30,0,,,False,
2026-04-06 08:26:12,ping,27,14,0,,,False,
2026-04-06 08:31:21,ping,26,10,0,,,False,
2026-04-06 08:36:31,ping,26,20,0,,,False,
2026-04-06 08:42:02,speed,,,,82.09,9.49,False,
2026-04-06 08:42:21,ping,33,75,0,,,False,
2026-04-06 08:47:31,ping,26,7,0,,,False,
2026-04-06 08:52:40,ping,25,4,0,,,False,
2026-04-06 08:57:49,ping,26,23,0,,,False,
2026-04-06 09:02:58,ping,32,36,0,,,False,
2026-04-06 09:08:07,ping,36,92,0,,,False,
2026-04-06 09:12:33,speed,,,,88.33,10.62,False,
2026-04-06 09:13:22,ping,29,23,0,,,False,
2026-04-06 09:18:31,ping,28,17,0,,,False,
2026-04-06 09:23:40,ping,26,9,0,,,False,
2026-04-06 09:28:50,ping,32,66,0,,,False,
2026-04-06 09:33:59,ping,27,16,0,,,False,
2026-04-06 09:39:08,ping,34,66,0,,,False,
2026-04-06 09:43:02,speed,,,,84.21,9.96,False,
2026-04-06 09:44:21,ping,40,96,0,,,False,
2026-04-06 09:49:31,ping,34,54,0,,,False,
2026-04-06 09:54:40,ping,35,55,0,,,False,
2026-04-06 09:59:49,ping,32,52,0,,,False,
2026-04-06 10:04:58,ping,27,10,0,,,False,
2026-04-06 10:10:07,ping,28,16,0,,,False,
2026-04-06 10:13:31,speed,,,,77.97,10.64,False,
2026-04-06 10:15:20,ping,26,15,0,,,False,
2026-04-06 10:20:29,ping,52,130,0,,,False,
2026-04-06 10:25:39,ping,36,45,0,,,False,
2026-04-06 10:30:48,ping,25,16,0,,,False,
2026-04-06 10:35:57,ping,33,87,0,,,False,
2026-04-06 10:41:06,ping,33,71,0,,,False,
2026-04-06 10:44:01,speed,,,,95.41,10.65,False,
2026-04-06 10:46:20,ping,31,45,0,,,False,
2026-04-06 10:51:29,ping,31,30,0,,,False,
2026-04-06 10:56:38,ping,28,17,0,,,False,
2026-04-06 11:01:48,ping,30,27,0,,,False,
2026-04-06 11:06:57,ping,32,26,0,,,False,
2026-04-06 11:12:06,ping,29,28,0,,,False,
2026-04-06 11:14:31,speed,,,,80.68,9.74,False,
2026-04-06 11:17:21,ping,27,16,0,,,False,
2026-04-06 11:22:30,ping,27,21,0,,,False,
2026-04-06 11:27:39,ping,24,11,0,,,False,
2026-04-06 11:32:48,ping,27,24,0,,,False,
2026-04-06 11:37:57,ping,28,16,0,,,False,
2026-04-06 11:43:07,ping,25,13,0,,,False,
2026-04-06 11:45:03,speed,,,,89.63,9.23,False,
