timestamp,check_type,avg_latency_ms,jitter,packet_loss_pct,download_mbps,upload_mbps,alert_triggered,alert_reason
2026-04-06 08:40:30,ping,34,87,0,,,False,
2026-04-06 08:45:39,ping,23,15,0,,,False,
2026-04-06 08:50:48,ping,25,11,0,,,False,
2026-04-06 08:55:57,ping,23,7,0,,,False,
2026-04-06 09:01:26,speed,,,,60.93,11.55,False,
2026-04-06 09:01:46,ping,23,4,0,,,False,
2026-04-06 09:06:55,ping,27,20,0,,,False,
2026-04-06 09:12:04,ping,29,63,0,,,False,
2026-04-06 09:17:13,ping,24,21,0,,,False,
2026-04-06 09:22:22,ping,24,18,0,,,False,
2026-04-06 09:27:31,ping,25,9,0,,,False,
2026-04-06 09:32:02,speed,,,,64.74,10.88,False,
2026-04-06 09:32:41,ping,30,62,0,,,False,
2026-04-06 09:37:50,ping,23,4,0,,,False,
2026-04-06 09:42:59,ping,49,122,0,,,False,
2026-04-06 09:48:08,ping,23,6,0,,,False,
2026-04-06 09:53:17,ping,28,48,0,,,False,
2026-04-06 09:58:26,ping,21,9,0,,,False,
2026-04-06 10:02:06,speed,,,,,,False,
2026-04-06 10:03:36,ping,24,8,0,,,False,
2026-04-06 10:08:45,ping,23,13,0,,,False,
2026-04-06 10:13:54,ping,24,10,0,,,False,
2026-04-06 10:19:03,ping,27,20,0,,,False,
2026-04-06 10:24:12,ping,23,10,0,,,False,
2026-04-06 10:29:21,ping,24,31,0,,,False,
2026-04-06 10:32:42,speed,,,,77.73,11.28,False,
2026-04-06 10:34:31,ping,25,10,0,,,False,
2026-04-06 10:39:40,ping,26,13,0,,,False,
2026-04-06 10:44:49,ping,32,54,0,,,False,
2026-04-06 10:49:59,ping,28,60,0,,,False,
2026-04-06 10:55:08,ping,37,56,0,,,False,
2026-04-06 11:00:17,ping,30,43,0,,,False,
2026-04-06 11:02:47,speed,,,,,,False,
2026-04-06 11:05:26,ping,25,17,0,,,False,
2026-04-06 11:10:35,ping,26,22,0,,,False,
2026-04-06 11:15:44,ping,28,8,0,,,False,
2026-04-06 11:20:53,ping,25,18,0,,,False,
2026-04-06 11:26:02,ping,28,18,0,,,False,
2026-04-06 11:31:12,ping,26,19,0,,,False,
2026-04-06 11:33:23,speed,,,,85.25,9.89,False,
2026-04-06 11:36:22,ping,24,24,0,,,False,
2026-04-06 11:41:31,ping,36,58,0,,,False,
2026-04-06 11:46:40,ping,25,16,0,,,False,
2026-04-06 11:51:49,ping,24,8,0,,,False,
2026-04-06 11:56:58,ping,24,16,0,,,False,
2026-04-06 12:02:07,ping,24,11,0,,,False,
2026-04-06 12:03:28,speed,,,,,,False,
2026-04-06 12:07:17,ping,23,18,0,,,False,
2026-04-06 12:12:26,ping,29,24,0,,,False,
2026-04-06 12:17:35,ping,28,55,0,,,False,
2026-04-06 12:22:44,ping,25,17,0,,,False,
2026-04-06 12:27:53,ping,24,12,0,,,False,
2026-04-06 12:33:03,ping,130,420,0,,,True,High latency: 130ms
2026-04-06 12:33:56,speed,,,,84.9,11.61,False,
2026-04-06 12:38:15,ping,57,123,0,,,False,
2026-04-06 12:43:24,ping,23,8,0,,,False,
2026-04-06 12:48:33,ping,23,7,0,,,False,
2026-04-06 12:53:42,ping,34,84,0,,,False,
2026-04-06 12:58:51,ping,23,15,0,,,False,
2026-04-06 13:04:00,ping,31,27,0,,,False,
2026-04-06 13:04:11,speed,,,,,,False,
2026-04-06 13:09:10,ping,24,11,0,,,False,
2026-04-06 13:14:19,ping,24,10,0,,,False,
2026-04-06 13:17:34,ping,28,24,0,,,False,
